Job Title,Company,Location,Salary,Link
Senior Python Developer,WRC Technologies,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=4f88b0f27a4227cc&fccid=c470548423e38f69&vjs=3"")"
PHP Developer,The Hip Element,"Kolkata, West Bengal","Rs.1,00,000 - Rs.1,10,000 a year","=HYPERLINK(""https://www.indeed.co.in/company/The-Hip-Element/jobs/PHP-Developer-c69fc7843551424a?fccid=7795a0f5c7c7c41e&vjs=3"")"
AWS DevOps,Indus Net Technologies,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=a81b2332b2d996ec&fccid=b5712e2e2095c20e&vjs=3"")"
MARKETING EXECUTIVE,Bringg Baack,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=e8ad4ff6dfd58ea7&fccid=14d88bd1d22b9c35&vjs=3"")"
Urgent Opening for Laravel/codeignitor PHP Developer,Primacy Infotech Pvt Ltd,"Salt Lake City, West Bengal","Rs.10,000 - Rs.30,000 a month","=HYPERLINK(""https://www.indeed.co.in/company/Primacy-Infotech-Pvt-Ltd./jobs/Opening-Laravel-Codeignitor-PHP-Developer-ebda53059fdfac3e?fccid=f3712dc6ce7b004b&vjs=3"")"
Software Development Engineer II,123Stores ECommerce,"Kolkata, West Bengal","Rs.18,00,000 - Rs.24,00,000 a year","=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=003208a17d84695e&fccid=f1296f3fa37fe4d8&vjs=3"")"
Project Coordinator,innofied,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=b6f6a90f39f7c973&fccid=2574481d13594c67&vjs=3"")"
Cloud System Engineer,Capital Numbers Infotech,"Sech Bhavan, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=6483d6259cdffb85&fccid=d367bcc2eb80486a&vjs=3"")"
IT Support Engineer II,ASSPL - West Bengal,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/rc/clk?jk=23977d5f38384310&fccid=fe2d21eef233e94a&vjs=3"")"
Solution Architect,TCS,"Kolkata, West Bengal",Salary not mentioned,"=HYPERLINK(""https://www.indeed.co.in/company/TCS/jobs/Solution-Architect-499fbaadd38ce797?fccid=c78fdfc4443d4537&vjs=3"")"
