Job Title,Company,Location,Salary,Link
Android Application Developer,Techweirdo,"Kolkata, West Bengal","Rs.25,000 - Rs.30,000 a month",https://www.indeed.co.in/company/Techweirdo/jobs/Android-Application-Developer-b8c2f53338bf793a?fccid=079c9de9d17336be&vjs=3
Software Engineer,Finlabs India,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=de981aff75ed6f16&fccid=dec37f661ac7a113&vjs=3
System Administrator or Analyst,Sath Infotech Private Limited,"Kolkata, West Bengal","Rs.2,00,000 - Rs.6,00,000 a year",https://www.indeed.co.in/rc/clk?jk=c2c3bbb145ce4303&fccid=20e3c0d104800bc0&vjs=3
Android Developer,Caramel IOT Pvt Ltd,"Kolkata, West Bengal","Rs.20,000 - Rs.40,000 a month",https://www.indeed.co.in/company/Caramel-IOT-Pvt-Ltd/jobs/Android-Developer-9aa2b5d89183c9ee?fccid=46bbfcce9f5f2214&vjs=3
Junior Software Engineer,ALLINDIA,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=a832c53cce8e2ac3&fccid=7d1f63658907c638&vjs=3
Software Development Professionals – Python,Rebaca,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=962a031bfcb8c5d8&fccid=bd39a4363a85946a&vjs=3
Software Engineer,ALLINDIA,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=ac495d99f2a9e1e7&fccid=7d1f63658907c638&vjs=3
BDE - Software Sales,RJ Softwares,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=144fcda1e8556eb3&fccid=80c5691287c3ba08&vjs=3
Microservices Developer,PatMD Consultng,"Kolkata, West Bengal","Rs.20,000 - Rs.60,000 a month",https://www.indeed.co.in/rc/clk?jk=8a0bfc107c747b6b&fccid=6c694e6546b29ba5&vjs=3
Web Developer,Nexenture Pvt Ltd,"Park Street H O, West Bengal","Rs.1,00,000 - Rs.2,00,000 a year",https://www.indeed.co.in/company/Nexenture-Pvt-Ltd/jobs/Web-Developer-49900ee452000690?fccid=bd79be1ad28b28e8&vjs=3
Consultant - RDC TC MSOFT,PwC,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=b42ff16f2e7acbf2&fccid=5e964c4afc56b180&vjs=3
Software Developer,Orphius Technologies,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=31d0aa6abb574850&fccid=53de895c1c838a98&vjs=3
Software Engineer,Aptsource Software,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=139628422cd1ba20&fccid=ccaf3426aade5744&vjs=3
ZR_135_JOB Need Urgently Java Developer in Pan India,2COMS Consulting Private Limited,"Chennai, Kolkata","5,20,000-6,20,000 INR",www.monsterindia.com/seeker/job-details?id=1500093&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
AWS Designer,TATA Consultancy Services Ltd.,Kolkata,Not Specified,www.monsterindia.com/job-vacancy-aws-designer-tata-consultancy-services-ltd-kolkata-6-11-years-24940193.html
ZR_136_JOB Need Node JS Developer Urgently in Pan India,2COMS Consulting Private Limited,"Chennai, Kolkata","6,10,000-6,80,000 INR",www.monsterindia.com/seeker/job-details?id=1500088&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Google Cloud Architect,TATA Consultancy Services Ltd.,"Bengaluru / Bangalore, Kolkata",Not Specified,www.monsterindia.com/job-vacancy-google-cloud-architect-tata-consultancy-services-ltd-bengaluru-bangalore-kolkata-10-15-years-24927207.html
Senior Java Developer,Company Name Confidential,"Bengaluru / Bangalore, Kolkata",Not Specified,www.monsterindia.com/seeker/job-details?id=1495044&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
ZR_145_JOB Urgent Require PHP Developer in Pan India,2COMS Consulting Private Limited,"Delhi, Kolkata","7,10,000-8,19,999 INR",www.monsterindia.com/seeker/job-details?id=1500069&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Software Developer/Architect,Transtrack Aeroservices Private Limited,"Bengaluru / Bangalore, Kolkata",Not Specified,www.monsterindia.com/seeker/job-details?id=1488761&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Test Solution Architect,Mindteck (India) Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1496309&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Dell Boomi Architect & Dell Boomi Lead Developer : -Immediate Opening with our Top MNC Client Bangal,Future Focus Infotech Private Limited,"Bengaluru / Bangalore, Kolkata",Not Specified,www.monsterindia.com/seeker/job-details?id=1510210&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
JAVA Developer_Kolkata Location,Shieldwatch Infotech Private Limited,Kolkata,Not Specified,www.monsterindia.com/seeker/job-details?id=1478302&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Reltio MDM Architect,TATA Consultancy Services Ltd.,"Chennai, Kolkata",Not Specified,www.monsterindia.com/job-vacancy-reltio-mdm-architect-tata-consultancy-services-ltd-chennai-kolkata-10-15-years-24927221.html
Snowflake Architect,TATA Consultancy Services Ltd.,"Bengaluru / Bangalore, Kolkata",Not Specified,www.monsterindia.com/job-vacancy-snowflake-architect-tata-consultancy-services-ltd-bengaluru-bangalore-kolkata-8-13-years-24927141.html
Looking for Freshers willing to built career in JAVA- Apply Now,Nanu India Recruitment Co,"Chennai, Kolkata","1,60,000-3,50,000 INR",www.monsterindia.com/seeker/job-details?id=1480353&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
Software Engineer - Entry Level / Freshers,Nanu India Recruitment Co,"Chennai, Kolkata","1,60,000-3,20,000 INR",www.monsterindia.com/seeker/job-details?id=1486822&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
"Java Developers - Sath Infotech Pvt. Ltd., Kolkata",Sath Infotech Private Limited,Kolkata,"2,00,000-10,00,000 INR",www.monsterindia.com/seeker/job-details?id=1461043&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
System Administrator or Analyst,Sath Infotech Private Limited,Kolkata,"2,00,000-6,00,000 INR",www.monsterindia.com/seeker/job-details?id=1486516&searchId=a7b3de3b-5f99-49d2-a977-f518a4afc126
